adónde|nora
cuáles|zeintzuk
cuál|zein
cuándo|noiz
cuántos|zenbat
cómo|nola
cómo|nola
por qué|zergatik
quiénes|nortzuk
quién|nor
qué|zer
¿Cuál es tu nombre?|Zein da zure izena?
¿Cuáles son tus apellidos?|Zeintzuk dira zure abizenak?
¿Dónde vives tú?|Non bizi zara zu?
¿Dónde vivís vosotr@s?|Non bizi zarete?
¿En qué ciudad vives?|Zein hiritan bizi zu?
¿En qué provincia vives?|Zein probintziatan bizi zara?
¿Cuál es el nombre de tu gato?|Zein da zure katuaren izena?
¿Cuánto cuesta eso?|Zenbat da?
Yo vivo en un pubelo pequeño|Ni herri txiki batean bizi naiz
