to deter|abschrecken
to grow up|aufwaschen
to put out of ...|aus ... strönen
the worry|das Bedenken(-)
the significance|die Bedeutung(en)
the supporter (starts with B) (male)|der Befürworter(-)
the supporter (starts with B) (female)|die Befürworterin(nen)
to claim (starts with b)|behaupten
the bed sheet|das Bettlaken(-)
to confirm|bestätigen
to punish|bestrafen
so far (used in past tense context)|bisher(ig)
to push, press towards|drängen
former|ehemalig
to intimidate|einschüchtern
the agreement|das Einvernehmen(-)
to ease, alleviate|erleichtern
the consolidation|die Festigung(en)
to demand|fordern
the peace movement|die Fridensbewegung(en)
the peace prayer|das Friedensgebet(e)
peaceful|friedlich
the leadership|die Führung
behind the scenes|hinter den Kulissen
the anniversary|der Jahrestag(e)
the jubilation|der Jubel
the rally|die Kundgebung(en)
the market economy|die Marktwirtschaft(en)
the wall|die Mauer
the Berlin wall|die Berliner Mauer
the fall of the Berlin wall|der Mauerfall
to report (starts with m)|melden
the freedom of speech|die Meinungsfreiheit
to live through something together|etwas miterleben
to not believe one's ears|seinen Ohren nicht trauen
the centrally-planned economy|die Planwirtschaft(en)
the speech|die Rede(n)
the huge event|das Risenereignis(se)
the security forces (pl.)|die Sicherheitskräfte
the informer (starts with S)|der Spitzel(-)
the enemy of the state|der Staatsfeind(e)
the secret police (in the GDR)|die Stasi (Staatssicherheit)
to throw oneself in|sich stürzen auf
the division (starts with T)|die Teilung(en)
faithful|treu
to pull out the troops|Truppen abziehen
to oppress|unterdrücken
to hand over|übergeben
the ally (starts with V)|der Verbündete(n)
united (starts with v)|vereint
to announce|verkünden
to convey|vermitteln
the representative (male)|der Vertreter(-)
the representative (female)|die Vertreterin(nen)
the people/nation (starts with V)|das Volk(¨er)
to happen (starts with "vol")|vollziehen
the action|das Vorgehen(-)
the election|die Wahl(en)
to refuse (reflexive)|sich weigern
the reunification|die Wiedervereinigung
the era|das Zeitalter(-)
the disintegration|der Zerfall
to step down|zurücktreten
to retreat (reflexive)|sich zurückziehen
to abolish|abschaffen
the construction|der Aufbau
the departure hall|die Ausreisehalle(n)
the extract (i.e in literature)|der Auszug(¨e)
the strong desire|die Begierde(n)
the money given to East Germans on first visit to the west|das Begrüßungsgeld
to consider as stupid (3 words)|für bescheuert halten
the term, label (starts with B)|die Bezeichnung(en)
to approve|billigen
the arson attack|der Brandanschalg(¨e)
the federal state|das Bundesland(¨er)
to be closed (1st word starts with d)|dicht sein
the property|das Eigentum(e)
independent|eigenständig
to integrate|eingliedern
to be/form a unity|eine Einheit bilden
to become true|in Erfüllung gehen
the celebrations (pl.)|die Feierlichkeiten
the tears of joy (pl.)|die Freudentränen
the opposite sex|das andere Geschlecht
the total picture|das Gesamtbild
the border|die Grenze(n)
the hero|der Held(en)
the heroine|die Heldin(nen)
(here:) to be (starts with h)|herrschen
the hut|die Hütte(n)
the other side of the coin|die Kehrseite der Medaille
the life expectancy|die Lebenserwartung
the mechanical engineering|der Maschinenbau
the Eastern Bloc|der Ostblock
to anticipate something (3 words)|mit etwas rechnen
the stepping down|der Rücktritt
to rennovate, repair|sanieren
the self-determination|die Selbstbestimmung
to take for granted|selbstverständlich sein
the extra income tax paid by German citizens to build up the East|der Solidaritätszuschlag
to care for|sorgen für
evrything was provided for|für alles war gesorgt
the mirror|der Spiegel(-)
the coup|der Staatsstreich(e)
the astonishment|das Staunen
the tax payer|der Steuerzahler(-)
the mood|die Stimmung(en)
to change one's thinking (starts with u)|umdenken
the transformation|die Umwandlung(en)
necessary|unbedingt
to say goodbye|(sich) verabschieden
outdated|veraltet
the ruin|der Verfall
to arrest|verhaften
to require|verlangen
to keep quiet about, to not say|verschweigen
surprising|verwunderlich
to presume|voraussetzen
to imagine (reflexive)|sich vorstellen
the eagle|der Adler(-)
the elected member of a parliament (starts with "Abg") (male)|der Abgeordnete(n)
the elected member of a parliament (starts with "Abg") (female)|die Abgeordnete(n)
the name sometimes used for a Landesparlament|das Abgeordnetenhaus
the agricultural land|das Agrarland
the after-school club|die AG (Arbeitsgemeinschaft)
"I noticed" (4 words)|es ist mir aufgefallen
to distinguish oneself (reflexive)|sich auszeichnen
to distinguish oneself (though something) (reflexive)|sich durch etwas auszeichnen
the coastal resort|der Badeort(e)
to harm (starts with b) belasten
the environment|die Umwelt
populated (starts with b)|besiedelt
the peculiarity, special feature|die Besonderheit(en)
to consist of|bestehen aus
at best|bestenfalls
the Lake Constance|der Bodensee
the brewery|die Brauerei(en)
the federal government|die Bundesregierung
the mayor|der Bürgermeister(-)
to experience, feel (starts with e)|empfinden
the factory|die Fabrik(en)
the flag|die Fahne(n)
the gourmet|der Feinschmecker(-)
the progress|der Fortschritt(e)
equally|gliechermaßen
the harbour|der Hafen(¨)
the Hanseatic League (a medieval association of northern German cities with common trading interests which laster several centuries)|die Hanse
the Hanseatic city (formerly part of the Hanseatic League)|die Hansestadt(¨e)
the manor house|das Herrenhaus(¨er)
the lover of islands|der Inselliebhaber(-)
the chalk cliff|der Kreidefels(en)
the government of each federal state|die Landesregierung(en)
the compatriots (pl.)|die Landsleute
to be fed up (4 words)|die Nase voll haben
the agricultural/industrial collective of workers|die Patenbrigade(n)
the organisation for young people in the GDR|die Pioniere
to form, characterise|prägen
to govern, rule|regieren
rich, varied|reichhaltig
the reputation|der Ruf
to pride oneself (reflexive)|sich rühmen
the stork|der Storch(¨e)
Swabian-style ravioli (answer this without article)|Schwäbische Maultaschen
Black Forest gateau (answer this without article)|Schwarzwälder Kirschtorte
the state of suspense|der Schwebezustand
the federal state made up of one or two cities|der Stadtstaat(en)
the deputy (male)|der Stellvertreter(-)
the deputy (female)|die Stellvertreterin(nen)
the freshwater lake|der Süßwassersee(n)
the lessons (starts with U)|der Unterricht
originally|ursprünglich
to be predominant, prevail|überwiegen
familiar (starts with v)|vertraut
the comparison|der Vergleich(e)
in advance|im Voraus
to prefer (starts with v)|vorziehen
the chairman (male)|der Vorsitzende(n)
the chairwoman (female)|die Vorsitzende(n)
the coat of arms|das Wappen(-)
the vineyard|der Weinberg(e)
the composition|die Zusammensetzung(en)
