to lose weight|abnehmen
everything revolves around ... (4 words) (reflexive in there somewhere)|alles dreht sich um ...
Anything goes (2 words)|Alles geht
to create your own (3 words)|am eigenen Selbst
identity (starts with b-)|basteln
to fear for somebody, to worry about somebody|Angst um jemanden haben
to try on (starts with "an-")|anprobieren
athletic|athletisch
exciting|aufregend
to look, appear|aussehen
the counselling centre|die Beratungsselle(n)
to be concerned with (3 words) (reflexive)|sich beschäftigen mit
to go on a diet|eine Diät machen
thin (starts with d-)|dünn
to allow|erlauben
to heat healthily (reflexive)|sich gesund ausgewogen ernähren
to heat badly (reflexive)|sich schlecht ausgewogen ernähren
the eating disorder|die Essstörung(en)
fat (adjective)|fett
the gym|das Fitnessstudio(s)
to do your hair|die Frisur stylen
the weight|das Gewicht(e)
fundamental(ly)|grundsätzlich
ugly|hässlich
on the other hand (starts with h-)|hingegen
the individual|das Individuum(-en)
the youth|die Jugend
the youth centre|der Jugendtreff(s)
the clothes (starts with "Kla-")|die Klamotten
to dress conventionally (reflexive)|sich gewöhnlich kleiden
to dress fashionably (reflexive)|sich trendy kleiden
the clothing brand|die Kleidermarke(n)
the anorexia|die Magersucht
anorexic|magersüchtig
flawless, perfect (starts with m-)|makellos
to be satisfied with your appearance|mit seinem Aussehen zufrieden sein
the make-up|das Make-up
the model (e.g fashion) (has 1 L)|das Model(s)
the model (e.g fashion) (has 2 Ls)|das Modell(en)
the style, fashion|der Modestill(e)
muscle-bound|muskelbepackt
to consider (+ case)|nachdenken über (+ acc)
the jealousy, envy|der Neid
jealous, envious|neidisch
the outfit|das Outfit(s)
the puberty|die Pubertät
the space|der Raum(¨e)
to conform to (reflexive)|sich richten nach
smart (starts with s-)|schick
lethargic|schlapp
to put on make-up (reflexive)|sich schminken
the cosmetic surgery|die Schönheitsoperation(en)
the obsession with beauty|der Schönheitswahn
the confidence|das Selbstbewusstsein
to take a selfie|ein Selfie machen
the subculture|die Subultur(en)
the scene|die Szene(n)
to train (e.g at the gym)|trainieren
the trend|der Trend(s)
the obesity|das Übergewicht
insecure|unsicher
to conceal|verbergen
to fall victim to something (+ case)|etwas (+ dat) verfallen
supposed(ly)|vermeintlich
the role model|das Vorbild(er)
to transform (starts with w-) (reflexive)|sich wandeln
to put on weight|zunehmen
to get ready|sich zurechtmachen
hip, 'hot'|angesagt
the reputation|das Ansehen(-)
to choose something|sich etwas aussuchen
sold out|ausverkauft
popular (starts with b-)|beliebt
famous (starts with b-)|berühmt
the CD|die CD(s)
to go straight to the heart, play on (your) feelings|direkt ins Herz treffen
the attitude towards society|die Einstellung(en) zur Gesellschaft
to relax (starts with e-)|sich entspannen
the success|der Erfolg
to be successful|Erfolg haben
to build up a fan base|eine Fangemeinde aufbauen
the music festival|das Festival(s)
the pleasure, joy|die Freude(n)
the frustration|der Frust
the sentimentality|die Gefühlsduselei
to be seen as (2 words)|gelten als
primarily|hauptsächlich
to identify with (reflexive)|sich identifizieren mit
the finding of one's identity|die Identitätsfindung
the performer (male)|der Interpret(en)
the performer (female)|die Interpretin(nen)
cheesy, corny|kitschig
the concert venue|die Konzerthalle(n)
the artist (male)|der Künstler(-)
the artist (female)|die Künstlerin(nen)
the live music concert|das Live-Konzert(e)
with critical lyrics|mit kritischen Texten
to listen to music on a tablet|Musik auf einem Tablet hören
