the rejection, disapproval|die Ablehnung(en)
to tear down|abreißen
to remove from office, depose|absetzen
to close off|absperren
to flourish|aufblühen
to trigger|auslösen
the permission to leave|die Ausreise(n)
to occupy|besetzen
the FRG/Federal Republic of Germany|die BRD/Bundesrepublik Deutschland
the GDR/German Democratic Republic|die DDR/Deutsche Demokratische Republik
former|damalig
to demonstrate|demonstrieren
the division of Germany|die deutsche Teilung
the people (starts with V-)|das Volk(¨er)
a people (starts with V-)|ein Volk(¨er)
unified (starts with e-)|einheitlich
the misery|das Elend(-)
the event|das Ereignis(se)
the First World War|der Erste Weltkrig
the Second World War|der Zweite Weltkrig
to flee, escape (starts with "fli-")|fliehen
to flee (starts with "flü-")|flüchten
the refugee|der Flüchtling(e)
the escape|die Flucht(en)
the flyer|das Flugblatt(¨er)
the building (starts with "Ge-")|das Gebäude(-)
at the same time (starts with "gl-")|gleichzeitig
the border|die Grenze(n)
the border checkpoint|die Grenzübergangsstelle(n)
to foung (starts with g-)|gründen
the capital city|die Hauptstadt(¨e)
the origin (starts with H-)|die Herkunft(¨e)
abroad|im Ausland
within the country|im Inland
the empreror|der Kaiser(-)
the Cold War|der Kalte Krieg
to climb on, onto|klettern auf
the power|die Macht(¨e)
the post-war period|die Nachkriegszeit(en)
the victim|das Opfer(-)
to protest|protestieren
sudden(ly)|schlagartig
the installed barrier|die Sperranlage(n)
the spy (male)|der Spion(e)
the spy (female)|die Spionin(nen)
the state|der Staat(en)
the state security|die Staatssicherheit(en)
to publish|veröffentlichen
the currency|die Währung(en)
to refuse (reflexive)|sich weigern
the global economic crisis|die Weltwirtschaftskrise(n)
the reunification|die Wiedervereinigung
to destroy (starts with z-)|zestören
to put on, stage|aufführen
the performance|die Aufführung(en)
the arrangement, adaptation|die Bearbeitung(en)
to master, play expertly (e.g a musical instrument)|beherrschen
the cast|die Besetzung(en)
the stage|die Bühne(n)
the set (e.g for a stage)|das Bühnenbild(er)
the conductor (male)|der Dirigent(en)
the conductor (female)|die Dirigentin(nen)
the literary and artistic director (starts with D-) (male)|der Dramaturg(en)
the literary and artistic director (starts with D-) (female)|die Dramaturgin(nen)
it is about|es geht um
the belongings (coll.) (answer this without article)|Hab und Gut
to be about (reflexive)|sich handeln um
the plot|die Handlung(en)
the lead actor (male)|der Hauptdarsteller(-)
the lead actress (female)|die Hauptdarstellerin(nen)
the courtyard|der Hinterhof(¨e)
to stage|in Szene setzen
the band leader, conductor, musical director (starts with K-) (e.g in a theatre)|der Kapellmeister(-)
the band leader, conductor, musical director (starts with K-) (e.g in a theatre)|der Kapellmeisterin(nen)
the sound|der Klang(¨e)
the scenery|die Kulisse(n)
the delicacy|der Leckerbissen(-)
the cinema|das Lichtspieltheater(-)
the masterpiece|das Meisterwerk(e)
the need, hardship|die Not(¨e)
the spectators, audience|das Publikum (Publika)
the director (starts with R-) (male)|der Regisseur(e)
the director (starts with R-) (female)|die Regisseurin(nen)
the collection|die Sammlung(en)
the actor|der Schauspieler(-)
the actress|der Schauspielerin(nen)
the symphony orchestra|das Sinfonieorchester(-)
the national orchestra/band|to take place|die Staatskapelle(n)
to take place (starts with "st-")|stattfinden
the play (theatrical)|das Theaterstück(e)
the entertainment|die Unterhaltung(en)
the premiere, first night|die Uraufführung(en)
originally|ursprünglich
the event (starts with V-)|die Veranstaltung(en)
the association, society|der Verein(e)
the effect of alienating the audience|der Verfremdungseffekt(e)
the past|die Vergangenheit(en)
the curtain|der Vorhang(¨e)
the spectator|der Zuschauer(-)
the listeners (pl.)|die Zuhörer
the foreigner (male)|der Ausländer(-)
the foreigner (female)|die Ausländerin(nen)
the xenofobia|die Ausländerfeindlichkeit
someone who returned to Germany after the Cold War from Eastern Europe or Russia, whose ancestors had German roots (answer this with definite article)|der Aussiedler(-)
to treat|behandeln
to enrich|bereichern
to take into consideration|berücksichtigen
the section of the population|die Bevölkerungsgruppe(n)
thanks to|dank
of German origin|deutscher Abstammung
to tolerate|dulden
former|ehemalig
to incorporate into (e.g village)|eingemeinden
the local|der Einheimsische(n)
the immigrant (starts with E-)|der Einwanderer(-)
the immigrant (starts with E-)|die Einwanderin(nen)
the inhabitant|der Einwohner(-)
the experience|die Erfahrung(en)
to facilitate, make easier|erleichtern
to support, promote (starts with f-)|fördern
someone invited to work in Germany during the economic boom in the late 1950s and 1960s (answer this with definite article)|der Gastarbeiter(-)
the taste|der Geschmack(¨e)
homosexual (adjective) (starts with g-)|gleichgeschlechtlich
the origin (starts with H-)|die Herkunft(¨e)
in everyday life (2 words)|im Alltag
to trust someone|jemandem trauen
to get to know|kennenlernen
moody|launisch
the minority|die Minderheit(en)
the mixture|die Mischung(en)
(of a person) from a migrant family background|mit Migrationshintergrund
multicultural (coll.)|multikulti
the nationality|die Nationalität(en)
the specialty|die Spezialität(en)
the district, part of town|der Stadtteil(e)
to orignate/come from (2 words)|stammen aus
predominantly|überwiegend
the relationship|das Verhältnis(se)
to come to an understanding (reflexive)|sich verständigen
the trust (reflexive)|das Vertrauen(-)
the ancestors (pl.)|die Vorfahren
the prejudice|das Vorurteil(e)
to overcome prejudices|Vorurteile abbauen
to enjoy oneself, feel at ease/happy (reflexive)|sich wohlfühlen
