the supper; dinner|das Abendessen
the server (at a restaurant); service|die Bedienung
the café|das Café(s)
the ice cream|das Eis
the food; meal|das Essen
the bottle|die Flasche(n)
a bottle of ...|eine Flasche ...
the male friend; boyfriend|der Freund(e)
the female friend; girlfriend|die Freundin(nen)
the breakfast|das Frühstück
the fork|die Gabel(n)
the hand|die Hand(¨e)
the potato|die Kartoffel(n)
the waiter (starts with K) (male)|der Kellner(-)
the waitress (starts with K) (female)|die Kellnerin(nen)
the spoon|der Löffel(-)
the student cafeteria|die Mensa
the knife|das Messer(-)
the lunch, midday meal|das Mittagessen
the dessert|der Nachtisch
the noodle|die Nudel(n)
the waiter (starts with O)|der Ober(-)
the pepper|der Pfeffer
the pizza|die Pizza
the french fries|die Pommes frites
the pudding|der Pudding(s)
the check; the bill|die Rechnung(en)
the rice|der Reis
the restaurant|das Restaurant(s)
the salt|das Salz
the serviette|die Serviette(n)
the menu (starts with S)|die Speisekarte(n)
the soup|die Suppe(n)
the plate|der Teller(-)
the sugar|der Zucker
to answer|antworten
to order|bestellen
to pay (starts with z)|zahlen
to pay for (starts with b)|bezahlen
to remain; to stay|bleiben
to bring (starts with b)|bringen
to thank (dative verb)|danken
to be fattening|dick machen
to recommend|empfehlen
to eat|essen
to drive (start with f)|fahren
to eat breakfast|frühstücken
to give|geben
to please; be pleasing to (dative verb)|gefallen
to belong to|gehören
to believe (dative verb) (starts with g)|glauben
to help|helfen
to walk; run (starts with lowercase L)|laufen
to read|lesen
to take; to have (food)|nehmen
to sleep|schlafen
to taste; (to taste good to) (dative verb)|schmecken
to see|sehen
to carry; wear|tragen
to become, to get (state, e.g: „ich _____ müde” "i'm getting tired")|werden
out of; from (a country of origin)|aus
besides (e.g: „_____ Kaufland ist alles zu”)|außer
at/or a company; near, by (a place in a city like a park); at the home of, with (a person)|bei
with; together with|mit
after (time e.g: Virtel ____ eins); to (far away cities, countries continents); to (in certain expressions)|nach
since; for (duration e.g: "studying for 2 years", used with continuous things/over a long period of time)|seit
of; from; by (creator, doer of an action)|von
to (int he direction of); at (in certain expressions) for (purpose e.g: i buy a pan to cook)|zu
Waiter!/Waitress! (starts with B)|Bedienung!
especially|besonders
Thanks, you too!|Danke, gleichfalls!
That's good!, That tastes good!|Das schmeckt gut!
I like it (it tastes good) (3rd word starts with m)|Das schmeckt mir
something|etwas
something to eat|etwas zu essen
usual(ly)|gewöhnlich
Bon appétit!|Guten Appetit!
Waiter! (2nd word starts with O)|Herr Ober
I don't like ...|Ich mag kein ...
I would like to have ... (2nd word starts wtih m)|Ich möchte gern ...
I would like to have ... (2nd word starts wtih h)|Ich hätte gern ...
I'd like to pay please|Ich möchte zahlen bitte
one (e.g one would not run in the corridoors)|man
sometimes|manchmal
towards home|nach Hause
not only ... but also ...|nicht nur ... sondern auch ...
nothing|nichts
nothing to drink|nichts zu trinken
another|noch ein
everywhere (starts with ü)|überall
much|viel
many|viele
perhaps; maybe (starts with v)|vielleicht
What's for breakfast?|Was gibt's zum Frühstück?
What's for lunch?|Was gibt's zum Mittagessen?
What is there to eat?|Was gibt's zu essen?
What is there to drink?|Was gibt's zu trinken?
how much?|wie viel?
how many?|wie viele?
at home|zu Hause
