the weather|das Wetter
the rain|der Regen
the cloud|die Wolke
the degrees|das Grad
the sun|die Sonne
the snow|der Schnee
the sky (starts with H)|der Himmel
the sun's shining|die Sonne scheint
the cloud|die Wolke
it's raining; it rains|es regnet
it's snowing; it snows|es schneit
it's sunny|es ist sonnig
it's cloudy|es ist bewölkt
there's thunder and lightning|es blizt und donnert
it's foggy|es ist nebelig
it's windy|es ist windig
it's hot|es ist heiß
it's cold|es ist kalt
it's cool|es ist kühl
"isn't it true?"; "right?" (2 words)|nicht wahr
true|wahr
again (1 word) (starts with w)|wieder
again (2 words) (starts with s)|schon wieder
only; just (starts with n)|nur
it doesn't matter (3 words)|das macht nichts
great (starts with t)|toll
to find|finden
what a pity; what a shame|schade
hopefully not|hoffentlich nicht
not yet|noch nicht
to hail|hageln
the hail|der Hagel
i'm warm; i'm hot|mir ist heiß
i'm cold|mir ist kalt
