the degree; diploma|der Abschluss(¨e)
the term paper (context of university)|die (Seminar)arbeit
the subject|das Fach(¨er)
the field of study|die Fachrichtung(en)
the major (field, subject)|das Hauptfach(¨er)
the lecture hall|der Hörsaal, Hörsäle
the lab(oratory)|das Labor(s)
the housemate, roommate (male)|der Mitbewohner(-)
the housemate, roommate (female)|die Mitbewohnerin(nen)
the minor (field, subject)|das Nebenfach(¨er)
the grade|die Note(n)
the professor (male)|der Professor(en)
the professor (female)|die Professorin(nen)
the quarter|das Quartal(e)
the oral presentation|das Referat(e)
the semester|das Semester(-)
the seminar|das Seminar(e)
the scholarship|das Stipendium, Stipendien
the (college) student (male)|der Student(en)
the (college) student (female)|die Studentin(nen)
the (course of) study|das Studium
the system|das System(e)
the science|das Wissenschaft(en)
the natural science|das Naturwissenschaft(en)
to finish one's degree, graduate (separable verb)|das Studium abschließen
to fear, be afraid of (+ case) (has "vor" after the word)|Angst haben vor (+ dat.)
to suppose; to accept (separable verb)|annehmen
to end; to stop doing something (separable verb)|aufhören
to fill out (separable verb)|ausfüllen
to sign up for, take (a course) (starts with b)|belegen
to mind (something); (lit. to have something against something)|etwas dagegen haben
to teach|lehren
to take an exam|eine Prüfung machen
to pass (a test)|(eine Prüfung) bestehen
to flunk, fail (a test) (separable verb)|(bei einer Prüfung) durchfallen
to give an oral presentation|ein Refarat halten
to share; to divide (starts with t)|teilen
to participate in (has "an" after the word) (+ case) (separable verb)|teilnehmen an (+ dat.)
foreign|ausländisch
surely, for sure; certain(ly)|bestimmt
difficult, with difficulty|schwierig
in you/his/her shoes; if i were you/him/her|an deiner/seiner/ihrer Stelle
(in) this way|auf diese Weise
therefore (starts with d)|deshalb
Do you mind, if ...?|Hast du etwas dagegen, wenn ...?
in any case|jedenfalls
so that|so dass
probably (starts with w)|wahrscheinlich
Why?, How come?|Wieso?
