the peace|der Frieden
the building|das Gebäude(-)
the thought|der Gedanke(ns), (n)
the border|die Grenze(n)
the homeland, home|die Heimat
the island|die Insel(n)
the youth|die Jugend
the pub|die Kneipe(n)
the war|der Krieg(e)
the air|die Luft
the power|die Macht(¨e)
the wall (same type as the Berlin Wall, freestanding, big)|die Mauer(n)
the middle|die Mitte
the nickname|der Spitzname(ns), (n)
the gate; gateway|das Tor(e)
the tower|der Turm(¨e)
the surrounding(s)|die Umgebung
the people (as a whole or nation)|das Volk(¨er)
the unification|die Vereinigung
the reunification|die Wiedervereinigung
to exchange (separable verb)|austauschen
to report (starts with b)|berichten
the remind of (has "an" after the verb) (+ case)|erinnern an (+ acc.)
to remember (has "an" after the verb) (+ case) (reflexive) (separable verb)|sich erinnern an (+ acc)
to recognise|erkennen
to lead|führen
to change|(sich) verändern
to leave (a place e.g. West Berlin)|verlassen
to disappear|verschwinden
to pass by (something); to guide (someone) along (something) (+ case) (separable verb)|vorbeiführen an
famous (starts with b)|berühmt
unique; incredible|einmalig
once|einst
historical(ly)|historisch
empty|leer
united|vereint
very beautiful(ly)|wunderschön
then (e.g. in "then and now") (starts with d)|damals
somewhere|irgendwo
all sorts of|jede Menge
hardly, barely, scarcely|kaum
isn't it?, don't you think so? (colloquial)|oder?
since then|seitdem
You bet!, You better believe it!|Und ob!
