the eel|der Aal(e)
away, off (prefix) (starts with a-)|ab-
starting, as of|ab
once in a while (has "ab")|ab und zu
to reduce, cut back (separable verb)|abbauen
to break off|abbrechen
to burn down|abbrennen
the evening|der Abend(e)
Good evening!|Guten Abend!
in the evening|am Abend!
yesterday morning|gestern Abend
this evening|heute Abend
the evening meal|das Abendbrot
the supper, evening meal|das Abendessen(-)
for supper|zum Abendessen
in the evening, every evening|am abends
Thursday evenings|donnerstag abends
the advernture|das Abenteuer(-)
advernturous|abenteuerlich
but, however; flavouring particle expressing admiration (starts with a-)|aber
to depart, leave (from) (has "von" after the word)|abfahren (von)
the departure, descent|die Abfahrt(en)
the waste, garbage|der Abfall(¨e)
to take off, fly (from) (has "von" after the word)|abfliegen (von)
the exhaust fumes|die Abgase
to give away; hand in (separable verb)|abgeben
the member of parliament (male)|der Abgeordnete
the member of parliament (female)|die Abgeordnete(n)
finished (starts with a-)|abgeschlossen
dependent (on) (starts with a-)|abhängig (von)
the dependence|die Abhängigkeit
to pick up (separable verb)|abholen
the final comprehensive exam at the end of the Gymnasium|das Abitur(e), Abi (coll.)
the report that one is leaving or moving|die Abmeldung
to take something from, take away (separable verb)|abnehmen
to subscribe|abonnieren
to pick, break off|abreißen
the paragraph|der Absatz(¨e)
to shoot down|abschießen
to conclude; finish (separable verb)|abschließen
to finish studies|das Studium abschießen
to finish one's apprenticeship, training, studies|die Ausbildung abschießen
the degree|der Abschluss(¨e)
the graduation party|die Abschlussparty(s)
the final university exam|die Abschlussprüfung(en)
to cut off (separable verb)|abschneiden
the return address|der Absender(-) (Abs.)
intentional(ly)|absichtlich
absolute(ly)|absolut
to complete (starts with a-)|absolvieren
to turn off (starts with "ab-") (separable verb)|abstellen
to take turns (reflexive) (separable verb)|sich abwechseln
the distraction; variety|die Abwechslung(en)
oh!|ach!
Oh, I see!|Ach so!
Oh, come on!|Ach was!
to pay attention to, watch out for (starts with "ach-") (+ case)|achten auf (+ acc.)
the attention; warning (noun / interjection)|die Achtung
Watch out! / Be careful!|Achtung!
German automobile association|der ADAC (Allgemeiner Deutscher Automobil-Club)
good-bye, farewell (starts with a-)|ade/adé
to add|addieren
the adjective|das Adjektiv(e)
the adjectival noun|das substantivierte Adjektiv
the eagle|der Alder(-)
the address (sounds like English)|die Addresse(n)
the Advent wreath|der Adventskranz(¨e)
the adverb|das Adverb(ien)
the aerobics|die Aerobik
the monkey|der Affe(n)
the agency|die Agentur(en)
the advertising agency|die Werbeagentur(en)
Egypt|(das) Ägypten
the Egyptian (male)|der Ägypter(-)
the Egyptian (female)|die Ägypterin(nen)
Egyptian|ägyptisch
There, you see. Oh, I see|Aha!
similar (starts with ä-)|ähnlich
That's typical of you.|Das sieht dir ähnlich.
the idea (starts with A-)|die Ahnung
No idea!|Keine Ahnung!
the academy|die Akademie(n)
the accusative (grammatical case)|der Akkusativ(e)
the act (in a play)|der Akt(e) 
the active voice (in grammar)|das Aktiv
active|aktiv
the activity|die Aktivität(en)
up-to-date, current|aktuell
the accent|der Akzent(e)
to accept (starts with a-)|akzeptieren
the space; universe|das All
from out of space|aus dem All
all (prefix) (starts with a-)|all-
above all, mainly|vor allem
every three years|alle drei Jahre
alone|allein
however (starts with a-)|allerdings
the allergy|die Allergie(n)
allergic to ...|allergisch gegen ...
all sorts of (starts with a-)|allerlei
everything, all|alles
That's all.|Das ist alles.
general; in general (1 word)|allgemein
in general (2 words)|im allgemein
gradual(ly)|allmählich
the everyday life|der Alltag
