the cafe|das Café(s)
the cafeteria|die Cafeteria
the cafeteria (coll.)|die Cafete
to camp|campen
to go camping|campen gehen
the campground|der Campingplatz(¨e)
the cappuccino|der Cappuccino(s)
the CD|die CD(s)
the cellist (male)|der Cellist(en)
the cellist (female)|die Cellistin(nen)
the cello|das Cello(s)
the cent|der Cent(s)
five cents|fünf Cent
the Helvetic Confederation (Switzerland)|Confoederatio Helvetica
the chaos|das Chaos
chaotic|chaotisch
the characterisation|die Charakterisierung(en)
characteristic (adj.)|charakteristisch
charming|charmant
the charm|der Charme
the chauffeur|der Chauffeur(e)
chauvinist|chauvinistisch
the boss (male)|der Chef(s)
the boss (female)|die Chefin(nen)
the chemistry|die Chemie
the chemical|die Chemikalie(n)
chemical(ly)|chemisch
the Chinese man|der Chinese(n)
the Chinese woman|die Chinesin(nen)
Chinese|chinesich
the choir|der Chor(¨e)
the Christmas tree|der Christbaum(¨e)
the Christmas fair|der Christkindlmarkt(¨e)
chronological|chronologisch
Bye! (starts with C-)|Ciao!
the clown (male)|der Clown(s)
the clown (female)|die Clownin(nen)
the cocker spaniel|der Cockerspaniel(-)
the cola drink|die Cola
the college|das College(s)
the Collie; Sheltie|der Collie(s)
the computer|der Computer(-)
the graphic designer (male)|der Computerkünstler(-)
the graphic designer (female)|die Computerkünstlerin(nen)
computerised|computerisiert
the container (starts with C-)|der Container(-)
the cornflakes (pl.)|die Cornflakes
the compartment|das Coupé(s)
the cousin (male)|der Cousin(s)
the cousin (female)|die Cousine(n)
creamy, smooth|cremig
