there|da
over there|da drüben
along; there; yet|dabei
to have with o.s.|dabei haben
to come along|dabei sein
the roof|das Dach(¨er)
the attic|der Dachboden(¨)
the roofer|der Dachdecker(-)
the attic floor|das Dachgeschoss
on the attic floor|im Dachgeschoss
the gutter|die Dachrinne(n)
the dachshund|der Dackel(-)
because (starts with "da")|dadurch, dass
against it|dagegen
Do you mind if ...?|Hast du etwas dagegen, wenn ...?
at home (starts with d-)|daheim
therefore, hence; from there (starts with d-)|daher
until then (starts wtih d-)|dahin
back there|dahinten
the dahlia|die Dahlie(n)
the da-compound|das da-Kompositum (Komposita)
then (starts with d-) (adj.)|damalig
then, in those days (starts with d-)|damals









































