# かつどう page 62-63
AM|ごぜん
PM|ごご
what time|なんじ
when (in the day, morning, afternoon, evening)|いつ
what time did you get up?|なんじにおきますか
to wake up|おきます
to eat breakfast|あさごはんをたべます
to read the newspaper|しんぶんをよみます
to go to work|かいしゃにいきます
to go to school|がっこうにいきます
to work|しごとをします
to eat lunch|ひるごはんをたべます
to return home|うちにかえります
to eat dinner|ばんごはんをたべます
to write (a) blog|ブログをかきます
to write (a) diary|にっきをかきます
to take a bath|おふろにはいります
to take a shower|シャワーをあびます
to sleep|ねます
early|はやい
late|おそい
every day|まいにち
often|よく
always|いつも
