breakfast|あさごはん
rarely/seldom/not really|あまり
Thank you./I accept. (Said before starting to eat or drink)./a polite way to say "moraimasu".|いただきます
always|いつも
tea (japanese tea)|おおちゃ／ちゃ
milk|ぎゅうにゅう／ミルク
English tea|こうちゃ
That was delicious. [Said after eating and drinking]|ごちそうさま
cooked rice|ごはん／ライス
fish|さかな
like/favourite|すき（な）
to eat|たべます
food|たべもの
egg|たまご
Please./Here you are.|どうぞ
what|なに
meat|にく
to drink|のみます
drink|のみもの
water (starts with み)|みず
miso soup|みそしる
vegetable|やさい
often|よく
interview|インタビュー
coffee|コーヒー
juice|ジュース
bread|パン
that [Noun] (starts with あ)|あの
the best/the most/number one|いちばん
Welcome./May I help you?/What can I do for you? (at a restaurant/a store)|いらっしゃいませ
udon noodles|うどん
delicious/tasty (starts with お)|おいしい
today|きょう
give me~.|〜ください
OK, then let's go there./Ok, then let's do that|じゃあ、そうしましょう
sushi|すし／おすし
soba|そば
Let's eat.|たべましょう
Thank you very much.|どうもありがとうございます
What is (it)?|なんですか
quick; early|はやい
one (for counting things)|ひとつ
two (for counting things)|ふたつ
store (i.e shop)|みせ
three (for counting things)|みっつ
inexpensive/cheap|やすい
dish/cooking/cuisine/りょうり
iced (coffee/tea)|アイス
orange juice|オレンジジュース
curry|カレー
cola|コーラ
cheeseburger|チーズバーガー
hamburger|ハンバーガー
pizza|ピザ
French fries/fried potatoes|フライドポテト
hot (coffee/tea)|ホット
hot dog|ホットドッグ
ramen|ラーメん
(suffix for counting things)|〜つ
give me~.|〜をください
beer|ビール
wine|ワイン
there is/are; to have; to hold a party/event/festival|あります
to go|いきます
money|おかね
late; slow|おそい
soba noodles (polite expression)|おそば
don't like, dislike|きらい（な）























































