the performance|la actuación
pleasant (adjective ends in e)|agradable
the atmosphere|el ambiente
old (starts with a) (masculine)|antiguo
old (starts with a) (feminine)|antigua
the battle|la batalla
the horse|el caballo
the shirt|la camisa
the competition (starts with "con")|el concurso
to commemorate|conmemorar
the custom|la costumbre
the parade, procession (starts with d)|el desfile
the devil|el diablo
to enjoy oneself (starts with "div") (reflexive)|divertirse
exciting (adjective ends in e)|emocionante
the bull run|el encierro
to find (starts with e)|encontrar
to understand (starts with e)|entender
to train oneself (reflexive)|entrenarse
strange (starts with e) (masculine)|extraño
strange (starts with e) (feminine)|extraña
the show, display (starts with "es")|el espectáculo
awful (starts with f)|fatal
to form|formar
impressive (adjective ends in e)|impresionante
uncomfortable (masculine)|incómodo
uncomfortable (feminine)|incómoda
to wear, take, carry|llevar
the Moor (historically a person from North Africa) (male)|el moro
the Moor (historically a person from North Africa) (female)|la mora
no one|nadie
the origin|el origen
to have a good time|pasarlo bien
the danger|el peligro
dangerous (masculine)|peligroso
dangerous (feminine)|peligrosa
over (3 words)|por encima de
beautiful (starts with p) (masculine)|precioso
beautiful (starts with p) (feminine)|preciosa
to jump|saltar
the safety, security|la seguridad
the luck|la suerte
the bull|el toro
the tower|la torre
the suit, costume|el traje
only, unique (masculine)|único
only, unique (feminine)|única
several (starts with v) (masculine)|varios
several (starts with v) (feminine)|varias
to dress (reflexive)|vestirse
to go to bed (starts with a) (reflexive)|acostarse
to close|cerrar
to catch|coger
short (starts with c) (masculine)|corto
short (starts with c) (feminine)|corta
it is hot|hace calor
to get up (starts with L) (reflexive)|levantarse
the husband (starts with m)|el marido
the wife (starts with m)|la marida
the majority|la mayoría
the computer (starts with o)|el ordenador
the partner; couple|la pareja
the walk, stroll (starts with p)|el paseo
the square (in a town)|la plaza
to try, to try out (starts with p)|probar
to stay (e.g at home) (reflexive)|quedarse
to clear the table|quitar la mesa
a while, whort time|un rato
to relax (reflexive)|relajarse
to get together (reflexive)|reunirse
the chat people have at the table after a meal|la sobremesa
to bring|traer
the ancestors (male)|los antepasados
the ancestors (female)|las antepasadas
to appear|aparecer
the sugar (can be el or la, answer this without an article)|azúcar
the skull (starts with "ca")|la calavera
to hold a celebration (reflexive)|celebrarse
the cementry|el cementerio
close to, near to|cerca de
the city, town|la ciudad
to start (starts with c)|comenzar
completely|completamente
dressed up, disguised (masculine)|disfrazado
dressed up, disguised (feminine)|disfrazada
lit (masculine)|encendido
lit (feminine)|encendida
the skeleton|el esqueleto
the tin (starts with e)|el estaño
the family members (male)|los familiares
the family members (female)|las familiares
the flower|la flor
hispanic (i.e of the spanish speaking world) (masculine)|hispánico
hispanic (i.e of the spanish speaking world) (feminine)|hispánica
mine (masculine)|mío
mine (feminine)|mía
the miner (masculine)|el minero
the miner (feminine)|la minera
the mole sauce|el mole
the mountain|la montaña
dead (masculine)|muerto
dead (feminine)|muerta
the normality|la normalidad
numerous (masculine)|numeroso
numerous (feminine)|numerosa
to offer|ofrecer
the silver|la plata
the procession (starts with p)|la procesión
the village, (small) town|el pueblo
the present, gift (starts with r)|el regalo
sad (adjective ends in e)|triste
the grave|la tumba
the candle|la vela
to sell|vender
old (starts with v) (masculine)|viejo
old (starts with v) (feminine)|vieja
apart from|aparte de
to attend|asistir
the area, neighbourhood|el barrio
the rubbish, litter|la basura
the firefighter (male)|el bombero
the firefighter (female)|la bombera
pretty (masculine)|bonito
pretty (feminine)|bonita
the quantity|la cantidad
the carpenter (male)|el carpintero
the carpenter (female)|la carpintera
the wax|la cera
to build (starts with c)|construir
to employ|contratar
the mess|el desorden
to wake up (starts with d) (reflexive)|despertarse
the one that (masculine)|el que
the one that (feminine)|la que
straight away|en seguida
great, fantastic (starts with e) (masculine)|estupendo
great, fantastic (starts with e) (feminine)|estupenda
great, amazing (starts with f)|fenomenal
the fair (e.g book fair)|la feria
the festivities|los festejos
the fireworks|los fuegos artificiales
to win, to earn, to gain|ganar
to spend|gastar
the people|la gente
Greece|Grecia
to keep, save (starts with g)|guardar
the bonfire|la hoguera
the language (starts with i)|el idioma
to clean|limpiar
full (starts with L) (masculine)|lleno
full (starts with L) (feminine)|llena
the wood|la madera
to watch, to look (starts with m)|mirar
to bother, to annoy (starts with m)|molestar
the museum|el museo
the name|el nombre
to hear|oír
the paper|el papel
worse|peor
the banger (british slang for firecracker, had to look that up)|el petardo
the prize (starts with p)|el premio
to set fire (not reflexive)|prender fuego
the spring|la primavera
the beginning|el principio
to burn|quemar
the souvenir; the memory|el recuerdo
the remains|los restos
the noise|el ruido
however (2 words)|sin embargo
to go up|subir
the workshop|el taller
the theme|el tema
the trend|la tendencia
the shop|la tienda
to throw|tirar
last (masculine)|último
last (feminine)|última
