es increíble que|It's incredible that
es preciso que|It's essential that
es de esperar que|It's to be hoped that
es importante que|It's important that
hagamos lo que hagamos|whatever we do
hagan lo que hagan|whatever they do
pase lo que pase|whatever happens
venga lo que venga|come what may
sea lo que sea|be that as it may
cueste lo que cueste|whatever the cost
me alegro de que|I'm happy that
me indigno de que|I'm indignant that
lamento que|I'm sorry that
me extraña que|I'm surprised that
me asombra que|I'm astonished that
me sorprende que|It surprises me that
que yo sepa|as far as i know
que yo recuerda|as far as i can remember
a menos que|unless
sin que|without
hasta que|until that
para que|In order that
¡Ojalá que venga pronto!|I hope he/she comes soon
¡Ojalá lo pudiera hacer!|If only i could do it
¡Ojalá no lo hubieran hecho!|If only they hadn't done it
¡Ojalá todos fueran como...!|If only everyone were like
quienquiera que|whoever
dondequiera que|wherever
comoquiera que|however
es mejor que|It's better that
es imprescindible que|It's essential that (it's indispensable, imperative that)
es justo que|It's fair that
es estupendo que|It's great that (it's stupendous that)
es lógico que|It's logical that
es una lata que|It's a shame that
es una pena que|It's a shame that (it's a pain that)
es una lástima que|It's a shame that
no creo que|I don't think that
no pienso que|I don't think that
no me parece que|It doesn't seem to me that
no veo que|I don't see that
no recuerdo que|I don't remember that
no aguanto que|I can't stand that
dudo que|I doubt that
querer que|to want (i want you to... + subjunctive)
aconsejar que|to advise that
mandar que|to command that
impedir que|to prevent that
en cuanto|as soon as
antes de que|before that
por mucho que|no matter how much
no es que|It's not that
a no ser que|unless
para que|so that
a fin de que|so that
espero que|I hope that
me alegra que|I'm glad that
temo que|I'm afraid that
