often (2 words)|a menudo
to be happy about (reflexive)|alegrarse de
understanding, sympathetic (masculine)|comprensivo
understanding, sympathetic (feminine)|comprensiva
to know a person or place|conocer
the advice|el consejo
the thing|la cosa
to look after|cuidar
the argument (like "discussion")|la discusión
the argument (like "dispute")|la disputa
fun, good fun (masculine)|divertido
fun, good fun (feminine)|divertida
selfish (always ends in the same vowel)|egoísta
the team (starts with e)|el equipo
to write|escribir
to annoy, to bother (starts with f)|fastidar
strong (adjective ends in e)|fuerte
talkative (masculine)|hablador
talkative (feminine)|habladora
honest (masculine)|honrado
honest (feminine)|honrada
mature (masculine)|maduro
mature (feminine)|madura
same (adjective starts with m) (masculine)|mismo
same (adjective starts with m) feminine)|misma
dangerous (masculine)|peligroso
dangerous (feminine)|peligrosa
to laugh (reflexive)|reírse
certian, sure (masculine)|seguro
certian, sure (feminine)|segura
the sense of humor|el sentido del humor
naughty (masculine)|travieso
naughty (feminine)|traviesa
sad (adjective ends in e)|triste
the summer|el verano
open (masculine)|abierto
open (feminine)|abierta
to advise|aconsejar
currently, nowadays (starts with a)|actualmente
to bear, to put up with (starts with a)|aguantar
to bear, to put up with (starts with s)|soportar
to tidy (starts with a)|arreglar
the generation gap|la barrera generacional
the affection|el cariño
jealous (masculine)|celoso
jealous (feminine)|celosa
the blame, fault|la culpa
the others (masculine)|los demás
the others (feminine)|las demás
fed up (masculine)|harto
fed up (feminine)|harta
the home|el hogar
nowadays (3 words)|hoy en día
even (e.g even the road melts in the summer, not just ice cream)|incluso
unfairly (adjective ends in e)|injustamente
together (plural) (masculine)|juntos
together (plural) (feminine)|juntas
the freedom|la libertad
the way (starts with m)|la manera
to bother, annoy (starts with m)|molestar
to hear about (2 verbs and de on the end)|oír hablar de
to forget|olvidar
proud (masculine)|orgulloso
proud (feminine)|orgullosa
similar (starts with p) (masculine)|parecido
similar (starts with p) (feminine)|parecida
the fight (starts with p)|la pelea
lazy (masculine)|perezoso
lazy (feminine)|perezosa
to cause (starts with p, like "provoke")|provocar
the nephew|el sobrino
the niece|la sobrina
to tend to|tender a
still (adverb) (starts with t)|todavía
to treat|tratar
so, therefore (2 words starts with a)|así que
the wedding (starts with b)|la boda
to look for|buscar
to change|cambiar
the wedding (starts with c)|el casamiento
to get married (reflexive)|casarse
the colleague, friend (masculine)|el compañero
the colleague, friend (feminine)|la compañera
disappointed (masculine)|decepcionado
disappointed (feminine)|decepcionada
to find (starts with e)|encontrar
the happiness (starts with f)|la felicidad
the party, festival|la fiesta
therefore (2 words starts with p)|por eso
next (starts with p) (masculine)|próximo
next (starts with p) (feminine)|próxima
the place (starts with s)|el sitio
alone, only (masculine)|solo
alone, only (feminine)|sola
single (masculine)|soltero
single (feminine)|soltera
to be lucky|tener suerte
now|ahora
someone|alguien
face to face|cara a cara
different (like "distinct") (masculine)|distinto
different (like "distinct") (feminine)|distinta
against (3 words)|en contra de
