shrill|chillón
hard (masculine)|duro
hard (feminine)|dura
clear (masculine)|claro
clear (feminine)|clara
pale, palid (masculine)|pálido
pale, palid (feminine)|pálida
rough (starts with á) (masculine)|áspero
rough (starts with á) (feminine)|áspera
rough (starts with r) (masculine)|rugoso
rough (starts with r) (feminine)|rugosa
tight (starts with a) (masculine)|apretado
tight (starts with a) (feminine)|apretada
slippery (starts with r) (masculine)|resbaladizo
slippery (starts with r) (feminine)|resbaladiza
soft (starts with b) (masculine)|blando
soft (starts with b) (feminine)|blanda
wet (masculine)|mojado
wet (feminine)|mojada
damp; humid (masculine)|húmedo
damp; humid (feminine)|húmeda
loose; loose-fitting (starts with h) (masculine)|holgado
loose; loose-fitting (starts with h) (feminine)|holgada
flat (masculine)|llano
flat (feminine)|llana
smooth (uniform) (starts with L) (masculine)|liso
smooth (uniform) (starts with L) (feminine)|lisa
sticky (masculine)|pegajoso
sticky (feminine)|pegajosa
hairy (masculine)|peludo
hairy (feminine)|peluda
uneven|desigual
